ltla	residual
E07000085	5.278584380262054
E07000086	4.452290789782693
E07000088	4.443951336532775
E07000089	4.374970807713932
E07000090	5.396243057055662
E07000091	4.413981968189518
E07000093	4.366781574978224
E07000094	4.3439994426442485
E07000095	5.443727464362313
E07000096	5.308911468751617
E07000098	4.331495581157829
E07000099	5.331274934211485
E07000103	4.325914284116014
E07000106	4.249601074865861
E07000107	6.410329108009069
E07000108	4.346861313696733
E07000109	4.3799989435277045
E07000110	6.25216372561453
E07000111	4.385011584473249
E07000113	4.229893936257948
E07000115	4.326483243370533
E07000116	4.401650068589076
E07000118	4.3656389909119095
E07000119	5.439968170885957
E07000129	4.382920242708766
E07000130	6.248221690047987
E07000132	4.3779702923185955
E07000133	4.4570647182964915
E07000134	4.354004373077558
E07000136	4.426804933702951
E07000137	5.350669082045586
E07000140	5.350819825636581
E07000141	4.2725857330481745
E07000144	4.272209942040963
E07000146	8.222895160859938
E07000147	6.373269960029965
E07000148	5.28307163098459
E07000149	4.276414609148802
E07000152	5.376384395714971
E07000153	5.323155079988998
E07000154	8.055492655924013
E07000155	4.3742025642623155
E07000164	4.381713358990115
E07000165	6.253456444997208
E07000169	6.382560441401776
E07000170	5.3583055628060405
E07000172	5.36606080069221
E07000173	4.3743430193117545
E07000174	6.350054772585885
E07000177	5.244717166761918
E07000179	5.293369839043391
E07000181	4.295966150836534
E07000187	5.432377044433573
E07000188	7.329415978692974
E07000189	4.380433407281649
E07000192	5.452496827990991
E07000195	4.320869524389795
E07000196	6.413060566534716
E07000197	5.385516750545135
E07000198	4.423280687893606
E07000200	4.377401296040665
E07000207	5.282920154109002
E07000208	4.398418193334512
E07000209	5.296708767197931
E07000211	5.306909093608236
E07000212	4.375564193157035
E07000213	5.3583702182904585
E07000214	4.379476778440587
E07000216	5.25341611014671
E07000217	4.3361833035064645
E07000218	4.469509621504018
E07000219	5.333013170605215
E07000220	5.378005772618803
E07000221	5.361097559326611
E07000224	4.347344797653786
E07000225	4.390386931230214
E07000226	5.374538787826459
E07000227	5.330665027538545
E07000228	5.306367394328892
E07000229	4.402631243548125
E07000235	5.419852477304861
E07000237	4.330158641674716
E07000238	4.316674955453049
E07000239	4.433850573633584
E07000240	4.266400355778648
E07000241	5.372263334228955
E07000242	5.320946587699601
E07000243	4.39922578287327
E07000244	4.062362514898911
E07000245	4.171834707544672
E07000246	7.361759839547159
E08000003	5.802263777107745
E08000004	5.244825261470815
E08000005	4.25011003667353
E08000007	6.1063850221268625
E08000008	5.158564830500838
E08000009	4.219054802339714
E08000011	5.354750109174959
E08000012	4.92810372634158
E08000014	5.174996050244531
E08000018	7.110176196658921
E08000019	5.566046380874956
E08000021	6.978676996986506
E08000022	4.165954774677209
E08000024	3.96815720431213
E08000025	4.712601325505986
E08000026	4.950508923034246
E08000027	6.954274314923641
E08000028	4.930139434096951
E08000029	5.172361914724613
E08000030	6.13328474043296
E08000032	3.4216741871727394
E08000034	3.7318047634372262
E08000035	5.9713539516826675
E08000037	4.182872380475343
E09000002	4.286505426408249
E09000003	4.824447895864354
E09000004	4.239693545526428
E09000005	6.076617666183406
E09000006	5.014022965935909
E09000007	5.228145810960537
E09000008	5.035722440759365
E09000009	6.918521745884454
E09000010	4.146291282645111
E09000011	5.180205701738908
E09000012	4.223501993383369
E09000013	4.2757470149014996
E09000014	5.202555390894841
E09000015	6.101418160005733
E09000017	4.970297531458902
E09000018	3.9958097434029862
E09000019	5.259508121840655
E09000020	5.3831442471700495
E09000021	4.209885100464895
E09000022	5.166914606476614
E09000023	4.153293806102199
E09000024	4.162138627555064
E09000025	6.191396952403048
E09000026	5.097958924807701
E09000027	5.15352480923055
E09000028	5.178693513513728
E09000029	5.179550376034781
E09000030	4.146957934340383
E09000031	4.175899118343244
E09000032	4.045779513298321
E09000033	5.300258005903531
