ltla	residual
E07000122	9.039095316269288
E07000123	-1.0531175459679014
E07000124	-0.1299505083207757
E07000125	-1.2996726789708566
E07000126	0.5225514971914453
E07000127	2.5041636771719373
E07000128	2.7293617769608853
E07000130	-2.4872908603481996
E07000134	-2.82433222906496
E07000136	-0.2982292645305842
E07000139	-1.7197069454172387
E07000142	-1.2294151372383197
E07000143	-0.829266913809938
E07000144	-1.034736480815348
E07000145	1.4585582830489865
E07000146	-2.1112772029133677
E07000148	-1.345159775492828
E07000151	-0.2205620984730805
E07000154	-3.8873489855404877
E07000155	-2.1050263945550682
E07000164	-1.2326371192772463
E07000165	-1.535351198383077
E07000168	-0.5051673634368479
E07000171	-3.7879542477790906
E07000172	0.25097578393160624
E07000176	0.1687055045778454
E07000177	-1.5408284558457592
E07000178	1.9094778868478346
E07000179	3.025039702754423
E07000180	0.09952044533996185
E07000181	-1.4680779846798329
E07000188	0.6942666238656447
E07000189	-0.6480773168020892
E07000192	-1.2224902186345523
E07000193	-2.0371232378586255
E07000194	-1.6859823639436402
E07000195	0.9941816383465985
E07000196	0.8728469813683901
E07000197	-1.4224021917682124
E07000198	-0.451258811041475
E07000200	2.900713654829805
E07000202	8.019838910832489
E07000203	-1.000485009832396
E07000207	0.029239717671106114
E07000209	-2.633175306793938
E07000211	1.7405097340845002
E07000212	-0.09715396826989409
E07000213	-0.6550177904270442
E07000214	-0.18154922408925467
E07000215	-0.09277226700701746
E07000216	-0.3673898635053847
E07000217	-0.4405107172709197
E07000218	2.4074975455150716
E07000219	-1.8424799965934642
E07000220	4.155526730129772
E07000221	1.259506847858896
E07000222	-0.9842335302421752
E07000224	-1.4935261254658085
E07000225	-0.02853156125789713
E07000226	0.18461545023748194
E07000228	0.8997877138568446
E07000229	-1.1424402919850576
E07000234	-1.4588650264670178
E07000235	-0.5807592407279119
E07000237	-0.29912953969845457
E07000238	1.8943132334675585
E07000240	-0.05447729633708276
E07000241	-2.7141684843255938
E07000242	1.7786142070250293
E07000244	1.0317911702909317
E07000245	-1.5787745187120792
E08000001	-2.476351995867832
E08000002	-2.0785608303489767
E08000003	-1.5642156811017696
E08000004	-2.2911573361985127
E08000005	5.597205046449805
E08000006	-0.4709983202720469
E08000007	-4.608748910677454
E08000008	-4.720592855792038
E08000009	0.07219193277660452
E08000010	-3.730146129204936
E08000011	2.049363616617528
E08000012	-1.7502621521856252
E08000014	1.2451508735528751
E08000015	-1.5090303182018285
E08000016	0.4984022048847745
E08000017	0.5506222014467763
E08000018	0.6097225862552964
E08000019	-6.33521146547703
E08000021	-0.8179714411022623
E08000022	0.49899024637377565
E08000023	-3.998873817759648
