ltla	betweenCentral
E08000027	1e-06
E07000142	1e-06
E08000019	0.02305065452475811
E06000044	1e-06
E07000148	0.03516094352747739
E07000144	1e-06
E06000019	1e-06
E09000012	0.10817049263264401
E08000025	0.06421931322329728
E08000006	0.10317460317460317
E07000221	0.00796812749003984
E06000054	0.012552962752165938
E09000017	0.03332700942262695
E07000094	0.010940365522038828
E06000059	0.0018023145513185353
E07000227	1e-06
E08000004	1e-06
E06000004	1e-06
E07000197	0.0058496174034022635
E07000220	0.013090495162208308
E06000041	0.049547840384493766
E09000002	1e-06
E07000072	1e-06
E09000028	0.04097894137734775
E07000234	1e-06
E08000001	1e-06
E07000111	0.010529311326124073
E07000065	1e-06
E06000060	0.012205147663314993
E07000146	1e-06
E07000117	0.017453993549611076
E07000029	1e-06
E07000228	1e-06
E07000038	1e-06
E07000178	0.038733953076582554
E07000067	1e-06
E06000057	1e-06
E09000025	0.03376968317207361
E07000070	0.035129323973945484
E07000064	0.0011383039271485485
E06000046	1e-06
E07000141	0.031240118889521277
E07000076	1e-06
E07000099	1e-06
E08000032	0.007873268829444127
E08000034	0.014797951052931132
E07000118	0.06795042054006196
E08000033	0.04376146208815531
E07000168	0.014386896857016378
E07000121	0.002972238031998988
E07000137	0.007873268829444127
E07000096	1e-06
E07000219	1e-06
E07000008	0.0002845759817871371
E07000012	1e-06
E07000037	0.007873268829444127
E07000189	1e-06
E07000031	0.01571491810535635
E09000010	0.021311579080503382
E07000027	0.03699487763232783
E09000026	1e-06
E09000011	0.005248845886296085
E08000008	0.0001264782141276165
E07000112	0.07933345981154745
E07000114	1e-06
E06000032	0.027224435590969452
E08000005	1e-06
E07000098	0.06238537911844684
E09000007	0.100921709985455
E09000029	1e-06
E07000243	0.02399924113071523
E07000239	0.007873268829444127
E09000033	0.23999241130715232
E06000049	0.017991525959653448
E09000004	1e-06
E09000013	0.03544551950926453
E07000244	0.015240624802377789
E06000051	0.008189464364763168
E07000216	0.007588692847656991
E07000199	0.042686397268070574
E06000030	0.011762473913868336
E07000113	1e-06
E07000066	1e-06
E07000109	1e-06
E07000195	0.03130335799658508
E09000016	1e-06
E07000124	1e-06
E08000031	1e-06
E06000034	0.017453993549611076
E07000202	1e-06
E06000035	0.0028457598178713715
E06000033	0.007873268829444127
E07000041	0.0016125972301271104
E07000063	1e-06
E07000044	0.007873268829444127
E07000194	0.000758869284765699
E06000055	0.06583191045342439
E07000217	0.018971732119142475
E07000103	0.020932144438120533
E07000213	0.05577689243027888
E06000009	0.007841649275912223
E07000011	0.053690001897173205
E07000226	0.027445772465692783
E06000012	1e-06
E08000013	1e-06
E06000001	0.008442420793018402
E07000241	1e-06
E07000105	1e-06
E07000177	0.029809334092202617
E07000126	1e-06
E08000014	0.023493328274204767
E06000040	0.007272497312337949
E06000013	0.015303863909441598
E07000164	0.008252703471826977
E07000149	1e-06
E07000237	0.015556820337696831
E07000211	0.024473534433693794
E06000024	1e-06
E07000119	1e-06
E07000107	0.007841649275912223
E07000150	1e-06
E07000179	1e-06
E06000021	0.007398975526465566
E06000007	0.007873268829444127
E07000240	1e-06
E07000188	9.485866059571237e-05
E07000192	0.18623126541453233
E07000154	0.1187630430658319
E07000169	1e-06
E06000037	0.009517485613103142
E07000071	1e-06
E06000025	0.007873268829444127
E08000010	1e-06
E07000214	1e-06
E07000115	1e-06
E07000238	0.01954088408271675
E07000193	1e-06
E06000006	1e-06
E06000050	1e-06
E07000108	1e-06
E07000127	0.0003161955353190413
E07000116	0.0002845759817871371
E06000022	0.006545247581104154
E06000026	1e-06
E07000122	0.007873268829444127
E07000026	1e-06
E07000125	1e-06
E07000245	1e-06
E07000198	1e-06
E07000120	1e-06
E07000128	0.007873268829444127
E07000010	1e-06
E07000083	1e-06
E07000242	0.031240118889521277
E06000003	1e-06
E07000246	0.030734206033010813
E09000001	NA
