ltla	eigenCentral
E07000152	2.0222026115256656e-05
E07000076	0.00013285470460290257
E08000034	0.00012515021701576618
E06000001	3.7939085331378666e-06
E07000189	2.0899657654063493e-06
E07000153	0.0003461478988826956
E07000226	0.005483610678370389
E07000219	0.00019003756814787559
E07000221	1.4393078639377747e-05
E06000049	0.0013633856607042337
E07000012	0.00035175874732512466
E07000090	0.00051513488331812
E07000238	4.897467440406339e-06
E07000187	2.4664040639990437e-05
E07000224	1.319325705131692e-05
E06000038	0.0059979691670604416
E06000036	0.0004053117203054007
E07000240	0.003110876313093237
E07000229	0.0001660706521457303
E08000022	8.055365562157392e-05
E07000115	0.0015571373350527313
E07000086	0.0006177184487610223
E07000031	2.6027762797767666e-05
E07000227	0.0007899287637205775
E07000188	1.0984168274740323e-05
E07000038	5.300042020813999e-05
E07000148	0.0006862694822301805
E07000244	4.3394116812856295e-06
E06000014	0.0013057041958828353
E07000093	0.00018711793041395965
E07000040	5.126488914152593e-05
E07000088	2.3060196263867577e-05
E07000200	3.715446798496889e-07
E07000118	9.788384116515104e-07
E07000155	0.00012086370497006671
E06000037	0.0008079805166273378
E06000055	0.0012890849080122396
